flightNumber,departureCity,destinationCity,fare,totalSeats,departureDate,departureTime,arrivalTime
AI101,New York,London,500.00,100,2025-05-11,09:00,17:00
JL205,Tokyo,Paris,750.00,80,2025-05-11,12:30,18:45
EK318,Dubai,Sydney,1200.00,150,2025-05-11,22:00,10:30
LH400,Frankfurt,New York,550.00,90,2025-05-11,14:00,16:30
BA249,London,Cairo,400.00,120,2025-05-12,10:00,14:00
AF102,Paris,Rome,250.00,70,2025-05-13,16:00,18:00
SA321,Sydney,Auckland,300.00,95,2025-05-19,07:00,10:00
TK001,Istanbul,New York,600.00,110,2025-05-20,11:00,18:00
QF101,Melbourne,Los Angeles,900.00,160,2025-05-21,08:00,13:00
UA205,San Francisco,Toronto,550.00,100,2025-05-22,15:00,18:45
AC209,Toronto,Barcelona,650.00,90,2025-05-23,10:30,14:00
LH102,Berlin,Tokyo,800.00,85,2025-05-24,13:00,17:15
CX205,Hong Kong,Sydney,1100.00,140,2025-05-25,20:00,08:30
SQ101,Singapore,Paris,950.00,120,2025-05-26,18:00,23:30
AF303,Paris,New York,600.00,100,2025-05-27,10:00,13:30
VS101,London,Los Angeles,700.00,110,2025-05-28,14:30,19:00
NH202,Tokyo,Frankfurt,850.00,95,2025-05-29,11:00,16:30
BA223,London,Sydney,1050.00,140,2025-05-30,09:15,22:00
KL408,Amsterdam,Shanghai,770.00,105,2025-06-01,16:45,21:00
DL103,Atlanta,Miami,250.00,130,2025-06-02,08:00,09:30
TK204,Istanbul,Barcelona,650.00,95,2025-06-03,19:00,23:00
AI308,New York,Delhi,800.00,100,2025-06-04,12:00,21:00
LX107,Zurich,Los Angeles,950.00,85,2025-06-05,10:30,14:00
MH209,Kuala Lumpur,Sydney,850.00,120,2025-06-06,13:30,18:00
QR300,Doha,Paris,750.00,100,2025-06-07,15:00,19:30
SV315,Jeddah,London,800.00,110,2025-06-08,11:00,16:00
CI402,Taipei,Tokyo,600.00,80,2025-06-09,07:30,10:00
MS711,Cairo,New York,950.00,140,2025-06-10,12:00,18:30
AA404,Chicago,San Francisco,350.00,120,2025-06-11,16:30,18:00
JU100,Belgrade,Frankfurt,500.00,90,2025-06-12,08:00,10:30
LH604,Frankfurt,Boston,650.00,130,2025-06-13,19:00,22:30
BR118,Taipei,Los Angeles,850.00,110,2025-06-14,14:00,18:30
AF212,Paris,Miami,700.00,95,2025-06-15,09:00,12:30
QR500,Doha,New York,900.00,115,2025-06-16,20:00,23:30
EK215,Dubai,Los Angeles,1100.00,150,2025-06-17,16:30,22:00
NH202,Tokyo,Boston,850.00,80,2025-06-18,12:00,15:45
VS305,London,New York,600.00,120,2025-06-19,11:30,15:30
CA340,Beijing,Sydney,950.00,125,2025-06-20,18:00,08:00
MO112,Cairo,Sydney,1200.00,100,2025-06-12,10:00,13:00
QF002,Sydney,London,1300.00,180,2025-06-21,15:00,06:00
UA934,Los Angeles,London,680.00,140,2025-06-22,18:30,12:30
DL008,New York,Paris,580.00,110,2025-06-23,21:00,10:00
AA100,New York,London,520.00,130,2025-06-24,19:00,07:00
EK005,London,Dubai,720.00,160,2025-06-25,14:00,00:30
SQ317,London,Singapore,980.00,170,2025-06-26,21:30,17:30
LH921,London,Frankfurt,150.00,90,2025-06-27,09:00,11:30
BA778,London,Stockholm,180.00,85,2025-06-28,11:00,14:30
AF1680,Paris,London,130.00,100,2025-06-29,15:00,15:20
TK1980,Istanbul,London,280.00,120,2025-06-30,10:00,12:00
KE901,Seoul,London,880.00,150,2025-07-01,13:00,17:00
OZ521,Seoul,London,870.00,145,2025-07-02,14:30,18:30
QF009,Perth,London,1250.00,165,2025-07-03,18:45,05:00
AC857,London,Toronto,620.00,140,2025-07-04,12:00,14:30
DL031,London,Atlanta,690.00,155,2025-07-05,10:30,14:30
UA929,London,Chicago,670.00,160,2025-07-06,16:00,18:30
AA081,London,Dallas,710.00,170,2025-07-07,11:00,15:00
EK002,London,Dubai,540.00,130,2025-07-08,20:00,06:30
LX317,London,Zurich,200.00,95,2025-07-09,08:15,10:00
NH212,London,Tokyo,990.00,175,2025-07-10,13:45,09:00
QR008,London,Doha,460.00,120,2025-07-11,21:00,05:15
IB3165,London,Madrid,160.00,90,2025-07-12,07:30,10:00
SK502,Copenhagen,London,190.00,100,2025-07-13,14:20,15:30
JL044,Tokyo,London,950.00,170,2025-07-14,12:00,17:30
CX252,London,Hong Kong,880.00,160,2025-07-15,18:30,13:00
SU2581,London,Moscow,320.00,110,2025-07-16,09:00,14:00
ET701,Addis Ababa,London,510.00,125,2025-07-17,23:00,05:30
SN2104,London,Brussels,140.00,85,2025-07-18,10:45,12:15
AZ211,London,Rome,230.00,105,2025-07-19,06:50,09:30
SK4965,Dubai,Perth,202.64,130,2025-07-08,16:30,18:40
AA1797,Dubai,Perth,621.73,151,2025-07-09,23:00,01:31
AA5314,Madrid,Hong Kong,1054.88,149,2025-07-10,11:45,14:14
IB7564,Paris,Madrid,950.48,145,2025-07-11,23:45,02:10
QF5328,Dallas,Seoul,476.28,117,2025-07-12,23:30,01:27
SN6908,London,Dallas,823.64,111,2025-07-13,00:00,01:51
LX6777,Perth,Toronto,956.71,178,2025-07-14,11:15,14:13
LH7913,Moscow,Seoul,717.88,101,2025-07-15,08:00,09:41
LH7926,Istanbul,Moscow,460.87,154,2025-07-16,05:45,08:19
LH8576,Rome,Perth,989.46,146,2025-07-17,15:15,17:41
ET9437,Atlanta,Zurich,887.39,83,2025-07-18,19:30,20:53
UA3207,Chicago,Toronto,971.67,80,2025-07-19,10:45,12:05
IB7512,Madrid,Hong Kong,881.03,170,2025-07-20,17:00,19:50
TK6346,Frankfurt,Chicago,1143.91,135,2025-07-21,21:15,23:30
QR7711,Chicago,Zurich,961.36,80,2025-07-22,12:30,13:50
AA189,Perth,Stockholm,1159.23,172,2025-07-23,06:30,09:22
AC8096,Toronto,Hong Kong,1273.65,120,2025-07-24,12:45,14:45
EK3783,Doha,Addis Ababa,1022.07,178,2025-07-25,07:15,10:13
JL5674,Tokyo,Dubai,340.03,141,2025-07-26,12:15,14:36
AA1712,Moscow,Madrid,157.82,150,2025-07-27,06:45,09:15
QF9903,Paris,Rome,1050.96,174,2025-07-28,22:15,01:09
QF7155,Zurich,Addis Ababa,625.15,158,2025-07-29,18:00,20:38
QF2153,Madrid,Stockholm,574.12,107,2025-07-30,17:00,18:47
JL1987,Brussels,Paris,652.68,155,2025-07-31,15:00,17:35
IB8388,Moscow,Istanbul,394.60,179,2025-08-01,12:45,15:44
AZ672,Paris,Dubai,133.76,122,2025-08-02,23:30,01:32
QF9538,Perth,Seoul,327.27,102,2025-08-03,00:45,02:27
NH4901,Frankfurt,Chicago,796.59,117,2025-08-04,10:00,11:57
IB3210,Istanbul,Copenhagen,522.51,82,2025-08-05,06:15,07:37
BA2412,Stockholm,Madrid,315.56,123,2025-08-06,17:15,19:18
TK6427,London,Atlanta,416.69,168,2025-08-07,08:00,10:48
UA2197,Madrid,Istanbul,613.31,152,2025-08-08,18:45,21:17
EK5623,Rome,Paris,146.54,106,2025-08-09,22:00,23:46
KE4331,Hong Kong,Dubai,1193.10,146,2025-08-10,01:30,03:56
LX4423,Addis Ababa,Brussels,1062.59,150,2025-08-11,17:45,20:15
AF6436,Dallas,Zurich,257.62,158,2025-08-12,07:00,09:38
EK8514,Doha,Toronto,1056.01,151,2025-08-13,14:15,16:46
AF3382,Chicago,Stockholm,566.54,129,2025-08-14,20:45,22:54
UA793,Frankfurt,Copenhagen,581.04,122,2025-08-15,05:30,07:32
KE6752,Atlanta,Copenhagen,204.69,146,2025-08-16,13:00,15:26
ET9419,London,Rome,539.00,85,2025-08-17,06:30,07:55
ET7622,London,Madrid,609.23,168,2025-08-18,07:00,09:48
LX3348,Perth,Dubai,987.90,90,2025-08-19,16:30,18:00
AF403,Dubai,Paris,270.53,178,2025-08-20,09:15,12:13
EK433,Istanbul,Frankfurt,375.93,121,2025-08-21,16:45,18:46
OZ8951,Tokyo,Rome,513.81,142,2025-08-22,00:15,02:37
AZ2263,Hong Kong,Seoul,1014.77,141,2025-08-23,20:00,22:21
QF3609,Copenhagen,Brussels,930.96,93,2025-08-24,22:45,00:18
EK7325,Istanbul,London,544.13,174,2025-08-25,05:00,07:54
OZ1210,Paris,Tokyo,972.91,84,2025-08-26,17:00,18:24
AZ8589,Toronto,Brussels,1253.51,152,2025-08-27,21:30,00:02
BA6467,Seoul,Hong Kong,146.39,138,2025-08-28,06:00,08:18
DL405,Doha,Chicago,1231.65,146,2025-08-29,10:00,12:26
QR6886,Toronto,Copenhagen,992.94,174,2025-08-30,01:45,04:39
JL2724,Seoul,Addis Ababa,561.52,114,2025-08-31,08:15,10:09
